strategy,category,subcategory,option_a,option_b,source,timestamp
choose_wonder,Failures,specified_word,wonder,generic,dual_agree,,2025-11-04T01:46:21.967296
reverse_order_awareness,Positional,second,superb,dowel,dual_agree,,2025-11-04T01:48:59.088016
lexicographicorder,Lexicographic,ambiguous,wholesome,bland,dual_agree,,2025-11-04T05:27:30.846499
lexicalfrequency,Frequency,ambiguous,warmth,insipid,dual_agree,,2025-11-04T05:28:00.012026
majority_preference,Failures,impossible_strategy,phenomenal,average,dual_agree,,2025-11-04T05:28:36.567291
first_letter_alphabetical,Other_Non-semantic,other,optimal,asphalt,sonnet_tiebreaker,"Kimi: Lexicographic,ascending | GPT: Lexicographic,ambiguous | Sonnet: Other_Non-semantic,other",2025-11-04T05:29:47.230178
color_association,Other_Semantic,other,warmth,beige,dual_agree,,2025-11-04T05:30:51.602344
focal_point_heuristic,Failures,meta-awareness,optimal,generic,dual_agree,,2025-11-04T05:35:35.994081
anchoring,Failures,other,wisdom,average,sonnet_tiebreaker,"Kimi: Failures,meta-awareness | GPT: Other_Semantic,ambiguous | Sonnet: Failures,other",2025-11-04T05:36:13.087466
focal_point,Failures,meta-awareness,success,generic,dual_agree,,2025-11-04T05:36:47.202389
availability_heuristic,Failures,meta-awareness,tenderness,bland,sonnet_tiebreaker,"Kimi: Frequency,common | GPT: Salience,ambiguous | Sonnet: Failures,meta-awareness",2025-11-04T05:37:25.520327
top-to-bottom-order,Positional,first,virtue,generic,dual_agree,,2025-11-04T05:42:02.639978
first-in-list,Positional,first,virtue,caulk,dual_agree,,2025-11-04T05:42:04.040263
top-to-bottom-reading-order,Positional,first,peace,generic,dual_agree,,2025-11-04T05:42:08.566349
symmetry-breaking,Failures,meta-awareness,optimal,generic,dual_agree,,2025-11-04T05:42:13.945098
default-order,Positional,ambiguous,success,generic,dual_agree,,2025-11-04T05:42:41.510174
order-preserving,Lexicographic,ambiguous,perfection,bland,sonnet_tiebreaker,"Kimi: Failures,meta-awareness | GPT: Positional,ambiguous | Sonnet: Lexicographic,ambiguous",2025-11-04T05:43:33.676073
order-priority,Positional,ambiguous,playfulness,caulk,sonnet_tiebreaker,"Kimi: Positional,first | GPT: Positional,ambiguous | Sonnet: Positional,ambiguous",2025-11-04T05:43:58.824132
category,Failures,other,virtue,gutter,dual_agree,,2025-11-04T05:44:31.829018
category-based,Other_Semantic,ambiguous,virtue,caulk,dual_agree,,2025-11-04T05:44:33.530309
contrast,Salience,ambiguous,peace,average,sonnet_tiebreaker,"Kimi: Failures,other | GPT: Other_Semantic,ambiguous | Sonnet: Salience,ambiguous",2025-11-04T05:45:08.723224
context-based,Failures,other,wholesome,bland,sonnet_tiebreaker,"Kimi: Failures,other | GPT: Other_Semantic,ambiguous | Sonnet: Failures,other",2025-11-04T05:45:49.322794
phonetic,Other_Non-semantic,phonetic,wonder,dowel,dual_agree,,2025-11-04T05:45:59.498668
antonym,Other_Semantic,ambiguous,tenderness,bland,dual_agree,,2025-11-04T05:46:08.414394
opposite,Other_Semantic,ambiguous,tenderness,insipid,dual_kimi_minor,"Kimi: Other_Semantic,ambiguous | GPT: Other_Semantic,other",2025-11-04T05:46:10.602228
intensity,Other_Semantic,other,profound,average,sonnet_tiebreaker,"Kimi: Failures,other | GPT: Other_Semantic,ambiguous | Sonnet: Other_Semantic,other",2025-11-04T05:46:55.213006
morpheme,Other_Non-semantic,other,wondrous,duct,sonnet_tiebreaker,"Kimi: Other_Semantic,complexity | GPT: Failures,other | Sonnet: Other_Non-semantic,other",2025-11-04T05:47:24.611704
word_type,Failures,other,virtue,caulk,dual_agree,,2025-11-04T05:47:41.963678
lexical_category,Other_Semantic,ambiguous,virtue,asphalt,dual_agree,,2025-11-04T05:47:45.416520
common_category,Frequency,common,virtue,drywall,dual_agree,,2025-11-04T05:47:47.071771
commonness,Frequency,common,virtue,brick,dual_agree,,2025-11-04T05:47:49.166446
common_association,Frequency,common,peace,gutter,dual_agree,,2025-11-04T05:47:51.754107
optimality,Failures,specified_word,optimal,bland,dual_agree,,2025-11-04T05:47:55.757600
preference_for_quality,Salience,positive,optimal,bland,dual_agree,,2025-11-04T05:47:57.253230
meaningfulness,Salience,ambiguous,optimal,insipid,dual_agree,,2025-11-04T05:47:59.482831
default_to_optimal,Failures,specified_word,optimal,generic,dual_agree,,2025-11-04T05:48:00.888606
common_meaning,Other_Semantic,ambiguous,optimal,insipid,dual_agree,,2025-11-04T05:48:02.740699
default_to_generic,Failures,specified_word,wisdom,generic,dual_agree,,2025-11-04T05:48:07.414323
common_sense,Failures,meta-awareness,wisdom,average,sonnet_tiebreaker,"Kimi: Failures,specified_word | GPT: Other_Semantic,ambiguous | Sonnet: Failures,meta-awareness",2025-11-04T05:48:32.251366
familiarity,Frequency,common,serenity,cubicle,dual_agree,,2025-11-04T05:48:35.823459
polarity,Salience,ambiguous,wholesome,gutter,dual_agree,,2025-11-04T05:48:39.409224
content_tone,Other_Semantic,other,wholesome,generic,sonnet_tiebreaker,"Kimi: Other_Semantic,ambiguous | GPT: Salience,ambiguous | Sonnet: Other_Semantic,other",2025-11-04T05:49:08.963204
common_usage,Frequency,common,wholesome,caulk,dual_agree,,2025-11-04T05:49:10.145632
preference-based,Other_Non-semantic,other,wholesome,beige,sonnet_tiebreaker,"Kimi: Failures,meta-awareness | GPT: Salience,ambiguous | Sonnet: Other_Non-semantic,other",2025-11-04T05:49:44.299046
popularity,Frequency,ambiguous,wholesome,hinge,sonnet_tiebreaker,"Kimi: Frequency,ambiguous | GPT: Frequency,common | Sonnet: Frequency,ambiguous",2025-11-04T05:50:02.596849
preference_for_positive_words,Salience,positive,wonder,bland,dual_agree,,2025-11-04T05:50:07.733860
rhyme,Other_Non-semantic,phonetic,wonder,dowel,dual_agree,,2025-11-04T05:50:13.550235
polarity_matching,Salience,ambiguous,wonderful,insipid,dual_agree,,2025-11-04T05:50:16.154723
default_to_positive,Salience,positive,wonderful,average,dual_agree,,2025-11-04T05:50:18.366863
emotional_association,Other_Semantic,other,tenderness,brick,sonnet_tiebreaker,"Kimi: Other_Semantic,ambiguous | GPT: Salience,ambiguous | Sonnet: Other_Semantic,other",2025-11-04T05:50:57.239679
polarity_alignment,Salience,positive,perfection,insipid,dual_agree,,2025-11-04T05:51:07.467217
mutual_exclusivity,Failures,other,playfulness,insipid,sonnet_tiebreaker,"Kimi: Other_Semantic,ambiguous | GPT: Failures,meta-awareness | Sonnet: Failures,other",2025-11-04T05:51:47.600153
lexical_category_matching,Other_Semantic,ambiguous,playfulness,grout,dual_kimi_minor,"Kimi: Other_Semantic,ambiguous | GPT: Other_Semantic,other",2025-11-04T05:51:49.498923
default_to_profound,Failures,specified_word,profound,average,dual_agree,,2025-11-04T05:51:56.436526
morphological_similarity,Other_Semantic,ambiguous,unity,duct,dual_kimi_minor,"Kimi: Other_Semantic,ambiguous | GPT: Other_Semantic,other",2025-11-04T05:52:14.243769
first_word_alphabetical_order,Lexicographic,ascending,virtue,insipid,dual_agree,,2025-11-04T05:52:28.336420
majority_picks_first,Failures,impossible_strategy,optimal,insipid,dual_agree,,2025-11-04T05:52:41.545251
shared_positive_connotation,Salience,positive,wholesome,bland,dual_agree,,2025-11-04T05:53:02.465482
firstword,Positional,first,wholesome,gypsum,dual_agree,,2025-11-04T05:53:08.633434
longest_common_subsequence,Other_Non-semantic,other,wholesome,cubicle,sonnet_tiebreaker,"Kimi: Failures,other | GPT: Other_Non-semantic,other | Sonnet: Other_Non-semantic,other",2025-11-04T05:53:43.993123
emotional_positive,Salience,positive,tenderness,bland,dual_agree,,2025-11-04T05:54:21.219376
emotional_positivity,Salience,positive,warmth,bland,dual_agree,,2025-11-04T05:54:28.517324
common_concept,Frequency,common,warmth,gypsum,dual_agree,,2025-11-04T05:54:37.871330
symmetry_heuristic,Other_Semantic,ambiguous,perfection,average,dual_agree,,2025-11-04T05:54:51.035487
maximize_agreement,Failures,meta-awareness,profound,bland,dual_agree,,2025-11-04T05:55:00.005265
lexical_positivity,Salience,positive,profound,insipid,dual_agree,,2025-11-04T05:55:01.480554
lexicalpriority,Lexicographic,ambiguous,profound,caulk,sonnet_tiebreaker,"Kimi: Other_Semantic,ambiguous | GPT: Lexicographic,ambiguous | Sonnet: Lexicographic,ambiguous",2025-11-04T05:55:25.212726
salience_bias,Salience,ambiguous,phenomenal,caulk,dual_agree,,2025-11-04T05:55:43.273600
convergence_without_communication,Failures,meta-awareness,virtue,gutter,dual_agree,,2025-11-04T05:56:05.250801
common_reference_point,Failures,meta-awareness,virtue,generic,dual_agree,,2025-11-04T05:56:07.228100
alphabetic-preference,Lexicographic,ambiguous,virtue,average,dual_agree,,2025-11-04T05:56:10.026147
firstalphabetical,Lexicographic,ascending,virtue,brick,dual_agree,,2025-11-04T05:56:11.608514
alphabetic_priority,Lexicographic,ascending,peace,gutter,sonnet_tiebreaker,"Kimi: Lexicographic,ambiguous | GPT: Lexicographic,ascending | Sonnet: Lexicographic,ascending",2025-11-04T05:56:34.865628
firstoptionpreference,Positional,first,peace,generic,dual_agree,,2025-11-04T05:56:36.647133
first_occurrence,Positional,first,peace,cubicle,dual_agree,,2025-11-04T05:56:38.103887
lexicographicchoice,Lexicographic,ambiguous,peace,carpet,dual_agree,,2025-11-04T05:56:39.671695
alphabetic_order,Lexicographic,ambiguous,peace,gypsum,dual_agree,,2025-11-04T05:56:41.230061
alphabetical_first_word,Lexicographic,ascending,peace,flooring,dual_agree,,2025-11-04T05:56:42.691882
pick-first,Positional,first,optimal,bland,dual_agree,,2025-11-04T05:56:44.043890
simple_match,Other_Semantic,complexity,optimal,generic,dual_kimi_minor,"Kimi: Other_Semantic,complexity | GPT: Other_Semantic,ambiguous",2025-11-04T05:56:46.978162
first_alphabetical_choice,Lexicographic,ascending,optimal,caulk,dual_agree,,2025-11-04T05:56:48.092233
lexicographic_select,Lexicographic,ambiguous,optimal,cubicle,dual_agree,,2025-11-04T05:56:50.017059
majority_label,Failures,impossible_strategy,optimal,average,dual_agree,,2025-11-04T05:56:51.523837
lexical_consensus,Lexicographic,ambiguous,wisdom,insipid,sonnet_tiebreaker,"Kimi: Failures,meta-awareness | GPT: Lexicographic,ambiguous | Sonnet: Lexicographic,ambiguous",2025-11-04T05:57:20.612115
majority_option,Failures,impossible_strategy,wisdom,generic,dual_agree,,2025-11-04T05:57:23.304625
conventional-response-bias,Other_Semantic,other,wisdom,average,sonnet_tiebreaker,"Kimi: Other_Semantic,other | GPT: Frequency,common | Sonnet: Other_Semantic,other",2025-11-04T05:57:49.177019
first_word_primacy,Positional,first,wisdom,average,dual_agree,,2025-11-04T05:57:50.517946
alphabeticalchoice,Lexicographic,ambiguous,wisdom,drywall,dual_agree,,2025-11-04T05:57:51.983836
alphabetical-first,Lexicographic,ascending,serenity,bland,dual_agree,,2025-11-04T05:57:53.804705
alphabeticallyfirst,Lexicographic,ascending,serenity,gutter,dual_agree,,2025-11-04T05:57:55.073143
first-word-consensus,Positional,first,serenity,generic,dual_agree,,2025-11-04T05:57:57.065677
first_choice_consistency,Positional,first,serenity,average,dual_agree,,2025-11-04T05:57:59.697126
pick_wholesome,Failures,specified_word,wholesome,gutter,dual_agree,,2025-11-04T05:58:02.622588
choose_simplest_shared_option,Other_Semantic,complexity,wholesome,generic,dual_kimi_minor,"Kimi: Other_Semantic,complexity | GPT: Other_Semantic,ambiguous",2025-11-04T05:58:06.045311
word_preference_bias,Failures,other,wholesome,caulk,sonnet_tiebreaker,"Kimi: Failures,meta-awareness | GPT: Salience,ambiguous | Sonnet: Failures,other",2025-11-04T05:58:46.780791
lexicographic_whimsy,Lexicographic,ambiguous,wholesome,grout,dual_agree,,2025-11-04T05:58:48.663976
length_bias,Length,ambiguous,wholesome,cubicle,dual_agree,,2025-11-04T05:58:50.079765
firstwordalphabeticalorder,Lexicographic,ascending,wholesome,asphalt,dual_agree,,2025-11-04T05:58:51.372419
simplicity_first,Other_Semantic,complexity,wholesome,gypsum,sonnet_tiebreaker,"Kimi: Other_Semantic,ambiguous | GPT: Length,shorter | Sonnet: Other_Semantic,complexity",2025-11-04T05:59:13.851491
majority_selection_heuristic,Failures,impossible_strategy,wholesome,average,dual_agree,,2025-11-04T05:59:15.258972
majority_minority,Failures,impossible_strategy,wholesome,brick,dual_agree,,2025-11-04T05:59:17.008098
lexical_preference_ranking,Other_Semantic,ambiguous,serendipity,insipid,dual_agree,,2025-11-04T05:59:18.961239
consensus_without_communication,Failures,meta-awareness,serendipity,generic,dual_agree,,2025-11-04T05:59:20.736753
common-first-word,Frequency,common,serendipity,cubicle,dual_agree,,2025-11-04T05:59:23.172363
parity_of_word_length,Length,ambiguous,serendipity,cement,dual_agree,,2025-11-04T05:59:24.918263
alphabetically-first,Lexicographic,ascending,wonder,insipid,dual_agree,,2025-11-04T05:59:27.115242
primacy_effect,Positional,first,wonder,insipid,dual_agree,,2025-11-04T05:59:28.605953
alphabetic_coordination,Lexicographic,ambiguous,wonder,caulk,dual_agree,,2025-11-04T05:59:29.998342
salience_of_sentiment,Salience,ambiguous,wonderful,insipid,sonnet_tiebreaker,"Kimi: Other_Semantic,other | GPT: Salience,ambiguous | Sonnet: Salience,ambiguous",2025-11-04T05:59:55.644415
choose-first,Positional,first,wonderful,caulk,dual_agree,,2025-11-04T05:59:57.136785
convergence_on_first_lexicographical,Lexicographic,ascending,wonderful,generic,dual_agree,,2025-11-04T05:59:58.584092
majority_vote,Failures,impossible_strategy,success,bland,dual_agree,,2025-11-04T06:00:00.850983
majority_heuristic,Failures,impossible_strategy,success,generic,dual_agree,,2025-11-04T06:00:02.757116
second_option_consistency,Positional,second,success,insipid,dual_agree,,2025-11-04T06:00:04.269116
alphabeticfirst,Lexicographic,ascending,success,caulk,dual_agree,,2025-11-04T06:00:05.540274
solve_for_consensus,Failures,meta-awareness,success,generic,dual_agree,,2025-11-04T06:00:07.019093
wordlengthheuristic,Length,ambiguous,success,caulk,dual_agree,,2025-11-04T06:00:08.563888
firstlistedresponsewins,Positional,first,success,cement,dual_agree,,2025-11-04T06:00:10.908843
lexicographic_lesser,Lexicographic,ascending,success,drywall,dual_agree,,2025-11-04T06:00:13.626263
lexical-order-first,Lexicographic,ascending,success,gypsum,dual_agree,,2025-11-04T06:00:15.138243
a_priori_consensus,Failures,meta-awareness,success,flooring,dual_agree,,2025-11-04T06:00:17.085414
lexicographic_earliest_word,Lexicographic,ascending,tenderness,gravel,dual_agree,,2025-11-04T06:00:20.080151
emotion_first,Other_Semantic,other,tenderness,cement,sonnet_tiebreaker,"Kimi: Failures,specified_word | GPT: Salience,ambiguous | Sonnet: Other_Semantic,other",2025-11-04T06:00:55.856177
simplicity_preference,Other_Semantic,complexity,warmth,generic,dual_agree,,2025-11-04T06:00:59.054531
pick_last_item,Positional,second,warmth,gravel,dual_agree,,2025-11-04T06:01:00.223044
lexicographical_position,Lexicographic,ambiguous,warmth,drywall,dual_agree,,2025-11-04T06:01:02.599144
semantic_stability,Other_Semantic,ambiguous,warmth,hinge,dual_agree,,2025-11-04T06:01:04.548081
preference_for_vitality,Failures,specified_word,vitality,insipid,dual_agree,,2025-11-04T06:01:06.382085
collaborative_consensus,Failures,meta-awareness,vitality,cubicle,dual_agree,,2025-11-04T06:01:08.574360
parity_consensus,Failures,meta-awareness,vitality,flooring,dual_agree,,2025-11-04T06:01:11.073906
first_option_favoring,Positional,first,vitality,duct,dual_agree,,2025-11-04T06:01:12.674963
chooselexicographicallyfirst,Lexicographic,ascending,vitality,duct,dual_agree,,2025-11-04T06:01:13.883795
first_choice,Positional,first,vitality,dowel,dual_agree,,2025-11-04T06:01:15.056288
first_visible_option,Positional,first,vitality,hinge,dual_agree,,2025-11-04T06:01:16.812883
preference_for_simplicity,Other_Semantic,ambiguous,perfection,cement,dual_kimi_minor,"Kimi: Other_Semantic,ambiguous | GPT: Other_Semantic,complexity",2025-11-04T06:01:19.651192
linguisticsimplicity,Other_Semantic,ambiguous,perfection,gypsum,dual_kimi_minor,"Kimi: Other_Semantic,ambiguous | GPT: Other_Semantic,complexity",2025-11-04T06:01:21.787969
first_one,Positional,first,perfection,brick,dual_agree,,2025-11-04T06:01:23.966611
first_heuristic,Positional,first,playfulness,gutter,dual_agree,,2025-11-04T06:01:25.847378
length_consensus,Length,ambiguous,playfulness,insipid,dual_agree,,2025-11-04T06:01:27.223322
alphabeticalpreference,Lexicographic,ambiguous,playfulness,cubicle,dual_agree,,2025-11-04T06:01:29.551861
lexicographic_least,Lexicographic,ascending,playfulness,cubicle,dual_agree,,2025-11-04T06:01:30.859729
alphabetic_minima,Lexicographic,ascending,playfulness,gypsum,dual_agree,,2025-11-04T06:01:32.653644
picking_the_first_item_that_comes_to_mind,Random,none,playfulness,duct,sonnet_tiebreaker,"Kimi: Failures,other | GPT: Salience,ambiguous | Sonnet: Random,none",2025-11-04T06:02:11.646891
lexical_rank_heuristic,Lexicographic,ambiguous,profound,bland,sonnet_tiebreaker,"Kimi: Other_Semantic,ambiguous | GPT: Lexicographic,ambiguous | Sonnet: Lexicographic,ambiguous",2025-11-04T06:02:31.061468
lexicographic_minimizer,Lexicographic,ascending,profound,generic,dual_agree,,2025-11-04T06:02:32.446611
first_invariant,Positional,first,profound,beige,dual_agree,,2025-11-04T06:02:34.529112
first_lexical_consensus,Lexicographic,ascending,profound,asphalt,dual_agree,,2025-11-04T06:02:37.214641
dowel,Failures,specified_word,profound,dowel,dual_agree,,2025-11-04T06:02:39.309586
preference_for_first_word,Positional,first,profound,hinge,dual_agree,,2025-11-04T06:02:40.547975
frequency_bias,Frequency,ambiguous,profound,hinge,dual_agree,,2025-11-04T06:02:41.978922
first-option-preference,Positional,first,superb,average,dual_agree,,2025-11-04T06:02:44.585721
select_last,Positional,second,superb,average,dual_agree,,2025-11-04T06:02:46.099005
lexicographic_greater,Lexicographic,descending,superb,flooring,dual_agree,,2025-11-04T06:02:48.118152
lexicographic_last,Lexicographic,descending,superb,duct,dual_agree,,2025-11-04T06:02:49.795398
last_preference,Positional,second,superb,brick,dual_agree,,2025-11-04T06:02:51.295332
caesar-shift-balance,Other_Non-semantic,hash,phenomenal,caulk,dual_agree,,2025-11-04T06:02:53.933487
convergence_on_lexical_simplicity,Other_Semantic,ambiguous,phenomenal,generic,dual_kimi_minor,"Kimi: Other_Semantic,ambiguous | GPT: Other_Semantic,complexity",2025-11-04T06:02:56.390993
choose_first_visible_to_break_symmetry,Positional,first,phenomenal,cubicle,dual_agree,,2025-11-04T06:02:58.369204
semantic_parity,Other_Semantic,ambiguous,phenomenal,carpet,dual_agree,,2025-11-04T06:03:00.579412
first_option_picker,Positional,first,phenomenal,gypsum,dual_agree,,2025-11-04T06:03:01.758862
choose_either,Failures,other,phenomenal,gypsum,sonnet_tiebreaker,"Kimi: Random,none | GPT: Failures,meta-awareness | Sonnet: Failures,other",2025-11-04T06:03:26.848408
first_choice_agreement,Positional,first,phenomenal,brick,dual_agree,,2025-11-04T06:03:28.595218
pick_the_middle_alphabetically,Failures,impossible_strategy,phenomenal,brick,sonnet_tiebreaker,"Kimi: Lexicographic,ascending | GPT: Lexicographic,ambiguous | Sonnet: Failures,impossible_strategy",2025-11-04T06:03:47.562954
word_letter_count_equality,Length,ambiguous,wondrous,bland,dual_agree,,2025-11-04T06:03:49.216702
majority_positive_connotation,Failures,impossible_strategy,wondrous,insipid,dual_agree,,2025-11-04T06:03:51.068431
lexicographical_minimizer,Lexicographic,ascending,wondrous,bland,dual_agree,,2025-11-04T06:03:52.223256
first_unique,Failures,other,wondrous,caulk,sonnet_tiebreaker,"Kimi: Failures,meta-awareness | GPT: Positional,first | Sonnet: Failures,other",2025-11-04T06:04:30.227722
first-option-bias,Positional,first,wondrous,generic,dual_agree,,2025-11-04T06:04:31.604605
alphabetically_later,Lexicographic,descending,wondrous,beige,dual_agree,,2025-11-04T06:04:33.389375
lengthpreference,Length,ambiguous,wondrous,drywall,dual_agree,,2025-11-04T06:04:35.339450
alphabeticalpick,Lexicographic,ambiguous,unity,generic,dual_agree,,2025-11-04T06:04:37.663819
alphabetical_both_pick_first,Lexicographic,ascending,unity,gravel,dual_agree,,2025-11-04T06:04:39.394258
first-option-consistency,Positional,first,unity,cubicle,dual_agree,,2025-11-04T06:04:41.136226
pick_the_first_alphabetically,Lexicographic,ascending,unity,flooring,dual_agree,,2025-11-04T06:04:42.961699
first_word_chosen,Positional,first,unity,dowel,dual_agree,,2025-11-04T06:04:44.546675
color_first,Positional,first,peace,beige,sonnet_tiebreaker,"Kimi: Positional,first | GPT: Other_Semantic,other | Sonnet: Positional,first",2025-11-04T06:05:47.175132
color_commonality,Other_Semantic,other,peace,beige,sonnet_tiebreaker,"Kimi: Frequency,ambiguous | GPT: Frequency,common | Sonnet: Other_Semantic,other",2025-11-04T06:06:13.410519
color,Other_Semantic,ambiguous,wisdom,beige,dual_kimi_minor,"Kimi: Other_Semantic,ambiguous | GPT: Other_Semantic,other",2025-11-04T06:06:33.353017
color_order,Other_Semantic,ambiguous,serenity,beige,dual_kimi_minor,"Kimi: Other_Semantic,ambiguous | GPT: Other_Semantic,other",2025-11-04T06:06:43.495902
wholesome_first,Positional,first,wholesome,carpet,dual_agree,,2025-11-04T06:06:55.833539
color_heuristic,Other_Semantic,other,tenderness,beige,dual_agree,,2025-11-04T06:07:40.772352
affect_heuristic,Salience,positive,warmth,bland,dual_agree,,2025-11-04T06:07:48.499710
color_temperature,Other_Semantic,ambiguous,warmth,beige,dual_agree,,2025-11-04T06:07:53.660910
opposite_choice,Other_Semantic,ambiguous,playfulness,insipid,dual_agree,,2025-11-04T06:08:16.310342
color_consistency,Other_Semantic,ambiguous,unity,beige,dual_kimi_minor,"Kimi: Other_Semantic,ambiguous | GPT: Other_Semantic,other",2025-11-04T06:09:15.849773
minimal_edit_distance,Other_Non-semantic,other,peace,gypsum,dual_agree,,2025-11-04T06:10:24.420676
first_letter,Other_Non-semantic,other,optimal,cubicle,sonnet_tiebreaker,"Kimi: Lexicographic,ambiguous | GPT: Other_Non-semantic,other | Sonnet: Other_Non-semantic,other",2025-11-04T06:11:05.669820
